stake_id,campaign,n_measurements,status
EH01,2022-2023,1,ONE_MEASUREMENT
EH01,2023-2024,2,MULTIPLE_MEASUREMENTS
EH01,2024-2025,2,MULTIPLE_MEASUREMENTS
EH02,2022-2023,1,ONE_MEASUREMENT
EH02,2023-2024,2,MULTIPLE_MEASUREMENTS
EH02,2024-2025,2,MULTIPLE_MEASUREMENTS
EH03,2022-2023,1,ONE_MEASUREMENT
EH03,2023-2024,2,MULTIPLE_MEASUREMENTS
EH03,2024-2025,2,MULTIPLE_MEASUREMENTS
EH04,2022-2023,1,ONE_MEASUREMENT
EH04,2023-2024,2,MULTIPLE_MEASUREMENTS
EH04,2024-2025,2,MULTIPLE_MEASUREMENTS
EH05,2022-2023,1,ONE_MEASUREMENT
EH05,2023-2024,2,MULTIPLE_MEASUREMENTS
EH05,2024-2025,2,MULTIPLE_MEASUREMENTS
EH06,2022-2023,1,ONE_MEASUREMENT
EH06,2023-2024,2,MULTIPLE_MEASUREMENTS
EH06,2024-2025,2,MULTIPLE_MEASUREMENTS
EH10,2022-2023,1,ONE_MEASUREMENT
EH10,2023-2024,2,MULTIPLE_MEASUREMENTS
EH10,2024-2025,2,MULTIPLE_MEASUREMENTS
EH11,2022-2023,1,ONE_MEASUREMENT
EH11,2023-2024,2,MULTIPLE_MEASUREMENTS
EH11,2024-2025,2,MULTIPLE_MEASUREMENTS
EH20,2022-2023,1,ONE_MEASUREMENT
EH20,2023-2024,2,MULTIPLE_MEASUREMENTS
EH20,2024-2025,2,MULTIPLE_MEASUREMENTS
EH22,2022-2023,1,ONE_MEASUREMENT
EH22,2023-2024,2,MULTIPLE_MEASUREMENTS
EH22,2024-2025,2,MULTIPLE_MEASUREMENTS
EH23,2022-2023,1,ONE_MEASUREMENT
EH23,2023-2024,2,MULTIPLE_MEASUREMENTS
EH23,2024-2025,2,MULTIPLE_MEASUREMENTS
EH25,2022-2023,1,ONE_MEASUREMENT
EH25,2023-2024,2,MULTIPLE_MEASUREMENTS
EH25,2024-2025,2,MULTIPLE_MEASUREMENTS
EH26,2022-2023,1,ONE_MEASUREMENT
EH26,2023-2024,2,MULTIPLE_MEASUREMENTS
EH26,2024-2025,2,MULTIPLE_MEASUREMENTS
EH27,2022-2023,1,ONE_MEASUREMENT
EH27,2023-2024,2,MULTIPLE_MEASUREMENTS
EH27,2024-2025,2,MULTIPLE_MEASUREMENTS
EH30,2022-2023,1,ONE_MEASUREMENT
EH30,2023-2024,2,MULTIPLE_MEASUREMENTS
EH30,2024-2025,2,MULTIPLE_MEASUREMENTS
EH36,2022-2023,1,ONE_MEASUREMENT
EH36,2023-2024,2,MULTIPLE_MEASUREMENTS
EH36,2024-2025,2,MULTIPLE_MEASUREMENTS
EH51,2022-2023,2,MULTIPLE_MEASUREMENTS
EH51,2023-2024,2,MULTIPLE_MEASUREMENTS
EH51,2024-2025,1,ONE_MEASUREMENT
EH53,2022-2023,2,MULTIPLE_MEASUREMENTS
EH53,2023-2024,2,MULTIPLE_MEASUREMENTS
EH53,2024-2025,2,MULTIPLE_MEASUREMENTS
EH54,2022-2023,2,MULTIPLE_MEASUREMENTS
EH54,2023-2024,2,MULTIPLE_MEASUREMENTS
EH54,2024-2025,2,MULTIPLE_MEASUREMENTS
EH55,2022-2023,2,MULTIPLE_MEASUREMENTS
EH55,2023-2024,2,MULTIPLE_MEASUREMENTS
EH55,2024-2025,2,MULTIPLE_MEASUREMENTS
EH56,2022-2023,1,ONE_MEASUREMENT
EH56,2023-2024,2,MULTIPLE_MEASUREMENTS
EH56,2024-2025,2,MULTIPLE_MEASUREMENTS
EH58,2022-2023,1,ONE_MEASUREMENT
EH58,2023-2024,0,NO_DATA
EH58,2024-2025,0,NO_DATA
EH59,2022-2023,1,ONE_MEASUREMENT
EH59,2023-2024,2,MULTIPLE_MEASUREMENTS
EH59,2024-2025,2,MULTIPLE_MEASUREMENTS
EH60,2022-2023,1,ONE_MEASUREMENT
EH60,2023-2024,0,NO_DATA
EH60,2024-2025,0,NO_DATA
EH61,2022-2023,1,ONE_MEASUREMENT
EH61,2023-2024,2,MULTIPLE_MEASUREMENTS
EH61,2024-2025,2,MULTIPLE_MEASUREMENTS
EH62,2022-2023,1,ONE_MEASUREMENT
EH62,2023-2024,0,NO_DATA
EH62,2024-2025,0,NO_DATA
EH64,2022-2023,1,ONE_MEASUREMENT
EH64,2023-2024,2,MULTIPLE_MEASUREMENTS
EH64,2024-2025,2,MULTIPLE_MEASUREMENTS
EH66,2022-2023,1,ONE_MEASUREMENT
EH66,2023-2024,2,MULTIPLE_MEASUREMENTS
EH66,2024-2025,2,MULTIPLE_MEASUREMENTS
EH67,2022-2023,1,ONE_MEASUREMENT
EH67,2023-2024,2,MULTIPLE_MEASUREMENTS
EH67,2024-2025,1,ONE_MEASUREMENT
EH68,2022-2023,1,ONE_MEASUREMENT
EH68,2023-2024,2,MULTIPLE_MEASUREMENTS
EH68,2024-2025,2,MULTIPLE_MEASUREMENTS
EH69,2022-2023,1,ONE_MEASUREMENT
EH69,2023-2024,0,NO_DATA
EH69,2024-2025,0,NO_DATA
EH70,2022-2023,1,ONE_MEASUREMENT
EH70,2023-2024,2,MULTIPLE_MEASUREMENTS
EH70,2024-2025,2,MULTIPLE_MEASUREMENTS
EH71,2022-2023,1,ONE_MEASUREMENT
EH71,2023-2024,2,MULTIPLE_MEASUREMENTS
EH71,2024-2025,2,MULTIPLE_MEASUREMENTS
EH72,2022-2023,0,NO_DATA
EH72,2023-2024,2,MULTIPLE_MEASUREMENTS
EH72,2024-2025,2,MULTIPLE_MEASUREMENTS
EH73,2022-2023,0,NO_DATA
EH73,2023-2024,2,MULTIPLE_MEASUREMENTS
EH73,2024-2025,1,ONE_MEASUREMENT
EH74,2022-2023,0,NO_DATA
EH74,2023-2024,2,MULTIPLE_MEASUREMENTS
EH74,2024-2025,2,MULTIPLE_MEASUREMENTS
EH75,2022-2023,0,NO_DATA
EH75,2023-2024,2,MULTIPLE_MEASUREMENTS
EH75,2024-2025,2,MULTIPLE_MEASUREMENTS
EH76,2022-2023,0,NO_DATA
EH76,2023-2024,0,NO_DATA
EH76,2024-2025,1,ONE_MEASUREMENT
EH77,2022-2023,0,NO_DATA
EH77,2023-2024,0,NO_DATA
EH77,2024-2025,1,ONE_MEASUREMENT
EH78,2022-2023,0,NO_DATA
EH78,2023-2024,0,NO_DATA
EH78,2024-2025,1,ONE_MEASUREMENT
EJ03,2022-2023,1,ONE_MEASUREMENT
EJ03,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ03,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ04,2022-2023,1,ONE_MEASUREMENT
EJ04,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ04,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ05,2022-2023,1,ONE_MEASUREMENT
EJ05,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ05,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ09,2022-2023,1,ONE_MEASUREMENT
EJ09,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ09,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ10,2022-2023,1,ONE_MEASUREMENT
EJ10,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ10,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ21,2022-2023,1,ONE_MEASUREMENT
EJ21,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ21,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ22,2022-2023,1,ONE_MEASUREMENT
EJ22,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ22,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ23,2022-2023,1,ONE_MEASUREMENT
EJ23,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ23,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ24,2022-2023,1,ONE_MEASUREMENT
EJ24,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ24,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ26,2022-2023,1,ONE_MEASUREMENT
EJ26,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ26,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ27,2022-2023,1,ONE_MEASUREMENT
EJ27,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ27,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ30,2022-2023,1,ONE_MEASUREMENT
EJ30,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ30,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ31,2022-2023,1,ONE_MEASUREMENT
EJ31,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ31,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ34,2022-2023,1,ONE_MEASUREMENT
EJ34,2023-2024,2,MULTIPLE_MEASUREMENTS
EJ34,2024-2025,2,MULTIPLE_MEASUREMENTS
EJ35,2022-2023,1,ONE_MEASUREMENT
