stake_id,glacier,date_start,date_end,dt_days,dx,dy,dz,daily_segment_speed
EH01,hurd,2022-12-23,2024-01-03,376,0.10700,-0.21000,-4.14700,0.00063
EH01,hurd,2024-01-03,2024-03-04,61,0.08500,-0.16700,3.78000,0.00307
EH01,hurd,2024-03-04,2025-01-02,304,-0.55700,-0.20700,0.52500,0.00195
EH01,hurd,2025-01-02,2025-03-02,59,-0.03147,-0.07606,-0.14704,0.00140
EH02,hurd,2022-12-23,2024-01-03,376,-2.67500,-2.07900,-3.24900,0.00901
EH02,hurd,2024-01-03,2024-03-04,61,-0.07700,-0.05900,3.79300,0.00159
EH02,hurd,2024-03-04,2025-01-02,304,-0.96700,0.49500,0.66300,0.00357
EH02,hurd,2025-01-02,2025-03-02,59,-0.10995,-0.11266,-0.15576,0.00267
EH03,hurd,2022-12-23,2024-01-03,376,-1.06800,-0.37800,-4.20700,0.00301
EH03,hurd,2024-01-03,2024-03-04,61,-0.05600,-0.03900,3.64400,0.00112
EH03,hurd,2024-03-04,2025-01-05,307,-0.66600,-0.83800,0.53900,0.00349
EH03,hurd,2025-01-05,2025-03-02,56,-0.21608,-0.13046,-0.34097,0.00451
EH04,hurd,2022-12-23,2024-01-03,376,-2.15000,-0.63900,-3.22500,0.00597
EH04,hurd,2024-01-03,2024-03-06,63,-0.14800,0.11000,3.78600,0.00293
EH04,hurd,2024-03-06,2025-01-05,305,-1.92400,0.04300,0.30400,0.00631
EH04,hurd,2025-01-05,2025-03-02,56,-0.35847,-0.07837,-0.27391,0.00655
EH05,hurd,2022-12-23,2024-01-03,376,-2.06700,-1.22200,-0.29800,0.00639
EH05,hurd,2024-01-03,2024-03-12,69,-0.46400,-0.26500,-0.03500,0.00774
EH05,hurd,2024-03-12,2025-01-05,299,-1.67600,-0.87600,-0.17000,0.00632
EH05,hurd,2025-01-05,2025-03-02,56,-0.56972,-0.08629,-0.03041,0.01029
EH06,hurd,2022-12-28,2024-01-03,371,-3.32600,-1.29300,-4.56100,0.00962
EH06,hurd,2024-01-03,2024-03-12,69,-0.85300,-0.27500,3.83000,0.01299
EH06,hurd,2024-03-12,2025-01-08,302,-2.50100,-0.99100,-0.38800,0.00891
EH06,hurd,2025-01-08,2025-03-02,53,-0.62650,-0.24512,-0.09794,0.01269
EH10,hurd,2022-12-23,2024-01-03,376,-0.68800,1.07400,-3.79800,0.00339
EH10,hurd,2024-01-03,2024-03-06,63,-0.22200,0.04700,3.64400,0.00360
EH10,hurd,2024-03-06,2025-01-02,302,-0.30800,0.81700,0.72400,0.00289
EH10,hurd,2025-01-02,2025-03-02,59,-0.14666,0.18240,-0.49442,0.00397
EH11,hurd,2022-12-26,2024-01-03,373,-1.38100,1.68200,-0.17200,0.00583
EH11,hurd,2024-01-03,2024-03-06,63,-0.26500,0.30100,-0.00800,0.00637
EH11,hurd,2024-03-06,2025-01-02,302,-1.10900,1.34900,-0.09300,0.00578
EH11,hurd,2025-01-02,2025-03-02,59,-0.22399,0.25558,0.00074,0.00576
EH20,hurd,2022-12-23,2024-01-04,377,-1.85700,-1.88700,-3.08200,0.00702
EH20,hurd,2024-01-04,2024-03-04,60,-0.99200,0.53100,2.32900,0.01875
EH20,hurd,2024-03-04,2025-01-08,310,-1.99600,-0.88100,634275.04000,0.00704
EH20,hurd,2025-01-08,2025-03-02,53,-0.38917,-0.26356,-634274.89769,0.00887
EH22,hurd,2022-12-23,2024-01-04,377,1.35300,-0.29400,-2.48400,0.00367
EH22,hurd,2024-01-04,2024-03-04,60,-1.58800,-0.53300,3.78200,0.02792
EH22,hurd,2024-03-04,2025-01-08,310,-0.51500,-0.72000,-0.49500,0.00286
EH22,hurd,2025-01-08,2025-03-02,53,-0.16589,-0.14374,-0.85104,0.00414
EH23,hurd,2022-12-23,2024-01-03,376,-2.56800,-1.61100,-4.11300,0.00806
EH23,hurd,2024-01-03,2024-03-05,62,-0.51200,-0.20400,3.63000,0.00889
EH23,hurd,2024-03-05,2025-01-08,309,-2.07300,-1.18300,-0.85300,0.00772
EH23,hurd,2025-01-08,2025-03-02,53,-0.48100,-0.29060,-0.33980,0.01060
EH25,hurd,2022-12-24,2024-01-03,375,-2.46600,-0.14100,-4.14500,0.00659
EH25,hurd,2024-01-03,2024-03-06,63,-0.41500,0.06000,4.04900,0.00666
EH25,hurd,2024-03-06,2025-01-05,305,-1.98600,-0.15700,-0.19800,0.00653
EH25,hurd,2025-01-05,2025-03-02,56,-0.34877,-0.01426,-0.01579,0.00623
EH26,hurd,2022-12-24,2024-01-06,378,-2.33800,-0.24500,-0.20900,0.00622
EH26,hurd,2024-01-06,2024-03-06,60,-0.44900,-0.01900,0.03300,0.00749
EH26,hurd,2024-03-06,2025-01-02,302,-1.76700,-0.16500,-0.12000,0.00588
EH26,hurd,2025-01-02,2025-03-02,59,-0.35249,0.11242,-0.00952,0.00627
EH27,hurd,2022-12-23,2024-01-03,376,-2.96900,-1.56100,-4.43700,0.00892
EH27,hurd,2024-01-03,2024-03-12,69,-0.78600,-0.39800,3.85300,0.01277
