stake_id,glacier,n_points,valid_segments,first_date,last_date,dt_days,total_dx_m,total_dy_m,total_dz_m,mean_speed_m_per_year,historic_vx_m_per_day,historic_vy_m_per_day,has_outlier_value
EH01,hurd,5,4,2022-12-23,2025-03-02,800,-0.39647,-0.66006,0.01096,0.35,-0.0005,-0.00083,False
EH02,hurd,5,4,2022-12-23,2025-03-02,800,-3.82895,-1.75566,1.05124,1.92,-0.00479,-0.00219,False
EH03,hurd,5,4,2022-12-23,2025-03-02,800,-2.00608,-1.38546,-0.36497,1.11,-0.00251,-0.00173,False
EH04,hurd,5,4,2022-12-23,2025-03-02,800,-4.58047,-0.56437,0.59109,2.11,-0.00573,-0.00071,False
EH05,hurd,5,4,2022-12-23,2025-03-02,800,-4.77672,-2.44929,-0.53341,2.45,-0.00597,-0.00306,False
EH06,hurd,5,4,2022-12-28,2025-03-02,795,-7.3065,-2.80412,-1.21694,3.59,-0.00919,-0.00353,False
EH10,hurd,5,4,2022-12-23,2025-03-02,800,-1.36466,2.1204,0.07558,1.15,-0.00171,0.00265,False
EH11,hurd,5,4,2022-12-26,2025-03-02,797,-2.97899,3.58758,-0.27226,2.14,-0.00374,0.0045,False
EH20,hurd,5,4,2022-12-23,2025-03-02,800,-5.23417,-2.50056,-0.61069,2.65,-0.00654,-0.00313,False
EH22,hurd,5,4,2022-12-23,2025-03-02,800,-0.91589,-1.69074,-0.04804,0.88,-0.00114,-0.00211,False
EH23,hurd,5,4,2022-12-23,2025-03-02,800,-5.634,-3.2886,-1.6758,2.98,-0.00704,-0.00411,False
EH25,hurd,5,4,2022-12-24,2025-03-02,799,-5.21577,-0.25226,-0.30979,2.39,-0.00653,-0.00032,False
EH26,hurd,5,4,2022-12-24,2025-03-02,799,-4.90649,-0.31658,-0.30552,2.25,-0.00614,-0.0004,False
EH27,hurd,5,4,2022-12-23,2025-03-05,803,-6.57539,-3.48796,-0.9426,3.38,-0.00819,-0.00434,False
EH30,hurd,5,4,2022-12-23,2025-03-02,800,-3.44085,-6.92071,-0.4945,3.53,-0.0043,-0.00865,False
EH36,hurd,5,4,2022-12-24,2025-03-06,803,-7.14896,3.70789,-2.65259,3.66,-0.0089,0.00462,False
EH51,hurd,5,4,2022-12-24,2025-01-08,746,-7.383,4.057,-4.173,4.12,-0.0099,0.00544,False
EH53,hurd,6,5,2022-12-24,2025-03-06,803,-6.17994,5.76683,-3.68676,3.84,-0.0077,0.00718,False
EH54,hurd,6,5,2022-12-24,2025-03-06,803,-0.34293,0.39554,-0.1675,0.24,-0.00043,0.00049,False
EH55,hurd,6,4,2022-12-24,2025-03-06,803,-4.2041,2.08612,-1.62528,2.13,-0.00524,0.0026,True
EH56,hurd,5,4,2022-12-24,2025-03-06,803,-3.64839,2.00694,-3.06658,1.89,-0.00454,0.0025,False
EH58,hurd,1,0,2022-12-23,,,,,,,,,False
EH59,hurd,5,4,2022-12-23,2025-03-05,803,-4.99363,-3.40217,-1.36843,2.75,-0.00622,-0.00424,False
EH60,hurd,1,0,2022-12-23,,,,,,,,,False
EH61,hurd,5,4,2022-12-23,2025-03-05,803,-7.97581,-4.74293,-2.49988,4.22,-0.00993,-0.00591,False
EH62,hurd,1,0,2022-12-23,,,,,,,,,False
EH64,hurd,5,4,2022-12-23,2025-03-02,800,-5.0076,-13.32972,-1.60143,6.5,-0.00626,-0.01666,False
EH66,hurd,5,4,2022-12-24,2025-03-05,802,-2.30265,1.12414,-0.16814,1.17,-0.00287,0.0014,False
EH67,hurd,4,3,2022-12-23,2025-01-08,747,-1.911,-1.47,-1.56,1.18,-0.00256,-0.00197,False
EH68,hurd,5,4,2022-12-24,2025-03-06,803,-4.10893,3.7274,-2.73207,2.52,-0.00512,0.00464,False
EH69,hurd,1,0,2022-12-24,,,,,,,,,False
EH70,hurd,5,4,2022-12-24,2025-03-06,803,-4.33089,0.31077,-2.41121,1.97,-0.00539,0.00039,False
EH71,hurd,5,4,2022-12-27,2025-03-02,796,-3.76907,-2.40243,-1.06965,2.05,-0.00474,-0.00302,False
EH72,hurd,4,3,2024-01-05,2025-03-06,426,-0.12062,-0.62172,-0.56636,0.54,-0.00028,-0.00146,False
EH73,hurd,3,2,2024-01-03,2025-01-08,371,-2.876,-2.017,4.803,3.46,-0.00775,-0.00544,False
EH74,hurd,4,3,2024-01-03,2025-03-05,427,-3.35074,-2.72238,3.5309,3.69,-0.00785,-0.00638,False
EH75,hurd,4,3,2024-01-04,2025-03-05,426,-2.83018,-1.56386,7.30111,2.77,-0.00664,-0.00367,False
EH76,hurd,1,0,2025-03-05,,,,,,,,,False
EH77,hurd,1,0,2025-03-05,,,,,,,,,False
EH78,hurd,1,0,2025-03-06,,,,,,,,,False
EJ03,johnson,5,4,2022-12-26,2025-03-01,796,7.14762,19.49013,-1.59401,9.52,0.00898,0.02449,False
EJ04,johnson,5,4,2022-12-26,2025-03-01,796,3.46794,23.9699,-3.75625,11.11,0.00436,0.03011,False
EJ05,johnson,5,4,2022-12-27,2025-03-08,802,-1.05017,43.95612,-6.4131,20.01,-0.00131,0.05481,False
EJ09,johnson,5,4,2022-12-26,2025-03-03,798,-0.20099,-0.55645,1.00728,0.27,-0.00025,-0.0007,False
EJ10,johnson,5,4,2022-12-26,2025-03-03,798,-15.54128,-6.8548,-4.88389,7.77,-0.01948,-0.00859,False
EJ21,johnson,5,4,2022-12-26,2025-03-01,796,-1.19022,2.71324,0.07031,1.36,-0.0015,0.00341,False
EJ22,johnson,5,4,2022-12-26,2025-03-01,796,-4.21231,10.69261,-1.80894,5.27,-0.00529,0.01343,False
EJ23,johnson,5,4,2022-12-26,2025-03-03,798,-7.76194,20.62543,-3.1356,10.08,-0.00973,0.02585,False
EJ24,johnson,5,4,2022-12-26,2025-03-01,796,2.87992,11.98637,-0.83883,5.65,0.00362,0.01506,False
EJ26,johnson,5,4,2022-12-26,2025-03-03,798,-27.13522,-10.05582,-1.69272,13.24,-0.034,-0.0126,False
EJ27,johnson,5,4,2022-12-26,2025-03-03,798,-45.15084,4.0764,-5.72603,20.74,-0.05658,0.00511,False
EJ30,johnson,5,4,2022-12-26,2025-03-01,796,-5.58197,-4.55054,-1.47573,3.3,-0.00701,-0.00572,False
EJ31,johnson,5,4,2022-12-23,2025-03-02,800,2.74905,6.93755,0.25443,3.4,0.00344,0.00867,False
EJ34,johnson,5,4,2022-12-26,2025-03-02,797,1.03037,4.34466,-1.78845,2.04,0.00129,0.00545,False
EJ35,johnson,5,4,2022-12-26,2025-03-01,796,-21.87678,0.45005,-4.53736,10.03,-0.02748,0.00057,False
EJ39,johnson,5,4,2022-12-26,2025-03-01,796,3.56844,1.61657,-1.5927,1.8,0.00448,0.00203,False
EJ45,johnson,5,4,2022-12-28,2025-03-08,801,-39.2756,85.60497,-10.36416,42.92,-0.04903,0.10687,False
EJ48,johnson,5,4,2022-12-26,2025-03-01,796,9.85359,9.49322,-2.86657,6.27,0.01238,0.01193,False
EJ50,johnson,5,4,2022-12-26,2025-03-03,798,-32.7047,19.41582,-4.54611,17.4,-0.04098,0.02433,False
EJ51,johnson,3,2,2022-12-27,2024-03-09,438,-49.7429,34.94583,-10.638,50.66,-0.11357,0.07978,False
EJ54,johnson,5,4,2022-12-28,2025-03-03,796,-54.06667,14.14911,-12.61255,25.63,-0.06792,0.01778,False
EJ55,johnson,1,0,2022-12-28,,,,,,,,,False
EJ56,johnson,1,0,2022-12-27,,,,,,,,,False
EJ57,johnson,5,4,2022-12-27,2025-03-02,796,-0.03139,2.86318,-4.12602,1.31,-4e-05,0.0036,False
EJ58,johnson,5,4,2022-12-27,2025-03-02,796,2.50403,1.99736,-3.21659,1.47,0.00315,0.00251,False
EJ59,johnson,4,3,2024-01-03,2025-03-03,425,-4.69407,2.00093,3.23343,4.38,-0.01104,0.00471,False
EJ60,johnson,4,3,2024-01-04,2025-03-01,422,0.14549,-2.94741,8.14133,2.55,0.00034,-0.00698,False
EJ61,johnson,4,3,2024-01-05,2025-03-08,428,-15.39882,29.73955,0.6444,28.56,-0.03598,0.06948,False
EJ62,johnson,4,3,2024-01-05,2025-03-08,428,-2.7797,30.88533,2.3849,26.45,-0.00649,0.07216,False
EJ63,johnson,4,3,2024-01-10,2025-03-03,418,-10.8641,-3.90858,-2.51361,10.08,-0.02599,-0.00935,False
EJ64,johnson,1,0,2025-03-08,,,,,,,,,False
